Category,cleaned_resume
HR,"HR management, communication skills, analytical skills, customer service, detail-oriented, organizational development, payroll processing, recruitment, scheduling, filing, office management, MS Office Suite, Oracle, QuickBooks, Peachtree, employee relations, benefits, accounts payable, accounts receivable, leadership, database management, logistics, mentoring, training, time management"
HR,"conflict management, employee training, human resources management, regulatory compliance, staff development, compensation administration, performance management strategies, interviewing expertise, staffing and recruiting, hiring and retention, training and development, employee relations, strategic planning, people management, organizational model development, legal compliance, disciplinary/grievance handling, administrative efficiency, recruitment and selection, orientation program management, training needs identification, performance measurement, HR function supervision, purchasing management, administrative process development, project planning and scheduling, performance appraisal systems, grievance handling, exit interview analysis, communication skills, interpersonal skills, decision making, English proficiency, procurement, strategic plans, workflow management"
HR,"Leadership skills, Providing focus and direction to subordinates, Motivating employees, Accuracy and attention to detail, Ability to work as part of a team, Effective communication and influencing skills, Strong analytical and problem solving skills, Strong work ethic, Professionalism, Excellent interpersonal skills, Planning skills, Organizational skills, Team player, Proficient in Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft PowerPoint, Microsoft Publisher, Microsoft Outlook, Microsoft Visio, Lotus Notes, Management, Administrative Support, Coaching, Customer service, Human resources, Team Leadership, Mentoring, Project Management, Researching, Supervision, Spanish, French"
HR,"ACA, ADP Payroll, AS400, benefits, benefits administration, consultation, ERP, hiring, HRIS, Internet Explorer, Kronos, labor relations, Excel, Outlook, PowerPoint, Word, organization development, payroll, PeopleSoft, personnel policies, recruitment, SOX, employee handbook"
HR,"administrative, ad, arbitration, agency, budget, Consultant, database, Employee Relations, hiring, HRIS, Human Resource, human resources, HR, team building, Leadership, materials, meetings, newsletter, organizational, performance management, personnel, presentations, processes, recruiting, recruitment, reporting, staffing, teacher"
HR,"Accounts Payable, Accounts Receivable, Customer Service, Microsoft Suite, SAP, Solomon, Knowledge of Quickbooks, Strong communication skills, Strong organizational skills, Telecommunication skills, Active listening skills, Energetic work attitude, Courteous demeanor, Research, Multitasking, Administration, Training, Scheduling, Market Research, Customer Interface"
HR,"Excel, Outlook, Power Point, Visio, One Note, Share Point, SAP, Advise HR, Siebel, TALX, Autonomy, Survey Monkey, Taleo, Prosci Change Management Certification, Herrmann Brain Dominance Instrument, Interview Skills Selection and Development"
HR,"Analytical Skills, Good Interpersonal Skills, Organizational Skills, Communication Skills, Recruiting and Staffing, Performance Management, Employee Relations, Selection/Recruiting, Employee Orientation, Training & Development, Policy & Procedure Writing, Detail Organization, Staff Supervision, Employee Records System, On-the-job Training, Job Analysis, Cold Calling, Internet Sourcing, Compensation, Labor Laws, Labor Policies, Equal Employment Opportunity, Interviewing, Discipline Issues, Social Networking, Recruitment Advertising, Campus Recruiting, OSHA Standards, Employee Grievance, Employee Verification, Screen/Schedule Candidates, Community Outreach, Computer Skills, Microsoft Office Word, Excel, Outlook, PowerPoint, Publisher, Health Care IS, HRIS Systems, PeopleSoft, Child Care IS, Day Care Software, QuickBooks, Data Input, Hiring, Managing, Leadership, Problem Solving, Budgeting, Employee Recognition, Data Analysis, Negotiations, Organization Development, Staffing and Selection, Employment Law, Labor-Management Relations, Integrated Studies in Human Resource Management, Managerial Leadership, Organizational Behavior, Managerial Accounting, Business Communications, Business Law, Financial Accounting, Marketing, Production Management, Statistics, Staffing, Policies, Procedure Writing, Procurement, Works, Written Communication."
HR,"ADP, People fluent, Microsoft Offices, Interviewing expertise, Performance management strategies, Benefits administrator, Employee relations, Manager coaching and training, HRIS applications proficient, Payroll expertise, Event management, Employee handbook development, QuickBooks proficiency, Alternative Dispute Resolution (ADR), Staffing and recruiting professional, Coaching, Customer service, Database management, Mentoring, Policies and procedures, Leave administration, Recruitment metrics, Performance management, Employee relations"
HR,"benefits, budget, client, delivery, hiring, Human Resource, HR, Insurance, Leadership, People Management, Managerial, Managing, market, Mentor, MIS, negotiations, networking, Internet research, optimization, Organization Development, payroll, Performance Management, philosophy, policies, processes, promotion, Recruitment, recruiting, seminars, strategic"
HR,"Microsoft Office proficiency, Excel spreadsheets, attention to detail, interpersonal skills, problem solving, team player, executive presentation development, confidentiality, business development, central point of contact, closing, client communication, email management, employee relations, fast service, faxes, meeting planning, office organization, PowerPoint presentations, payroll processing, personnel management, quality assurance, receptionist duties, sales, spreadsheet development, telephone communication, employee handbook development"
HR,"Recruiting, Onboarding, Project Management, Event Planning, Employee Relations, Teamwork/Collaboration, Training and Development, Public Speaking, Social Media Marketing, ADP, Workday, Microsoft Office Suite, Benefits, Branding, Budget, Oral communication, Competitive, Email, HRIS, HR, Leadership, Marketing, MS Excel, Product manager, Researching, Strategy, Workshops, Written"
HR,"HR Advisory Services, Strategic Recruitment Planning, HR Policies & Procedures, Staff Recruitment & Retention, HR Program/Project Management, Orientation & Onboarding, Performance Management, Delegated Examining, Classification and Position Management, Special Emphasis Programs, MS Office (Word, Excel, PowerPoint, Access, Outlook), Excellent interpersonal and coaching skills, Recruiting and selection techniques, Proficient communicator, Talent assessments, Leadership Development, Social Media management and recruitment, Agency marketing and branding, Human Resource Management, Human Resources, critical and analytical thinking, Lead HR Special Project, research and development, event organizer, journalism"
HR,"employee relations, compensation administration, personnel records maintenance, new hire orientation, hiring and retention, training and development, compensation/payroll, staffing and recruiting, off-boarding, interviewing expertise, performance management strategies, benefits administration, employment law knowledge, HRIS applications, employee handbook development, human resources audits, confidentiality, HR policies and procedures, human resources management, interpersonal skills, coaching skills, recruitment, selection, onboarding, job classification, personnel policies, labor contract knowledge, conflict resolution, safety processes, workers' compensation, leave of absence management, FMLA, software implementation, process improvements, internal training programs, exit interview process, website mapping, applicant screening, interview coordination, training communication, tuition reimbursement management, benchmarking, benefits, conflict resolution, direction, performance management, personnel, policies, processes, recruitment, research, safety, staffing, strategic, training programs"
HR,"skills: ADA, ADP, benefits, clarify, employee relations, human resource, Human Resources, HR, insurance, law enforcement, mediation, MS Office, office, SharePoint, Organizational, performance management, personnel, policies, promotion, recruiting, recruitment, employee handbooks, vendor management"
HR,"Exceptional interpersonal skills, Innovative, Microsoft Office Suite expert, Human resources audits, Maintains confidentiality, Personnel records maintenance, New hire orientation, Applicant Tracking System, EEO Reporting, HRMS, People-oriented, Organized, Exceptional communicator, Recruiting, SAP Administration, SharePoint, Excel, Groupwise, Incoming Calls, Ms Office, Ms Outlook, Phone System, Receptionist, Recruiter, Sterling Inforsystems, Orange Tree Employment Services, Kenexa - IBM Products, Ultipro, Sarbanes-Oxley (SOX), Scheduling, Access, Best Practices, Database, Employee Performance, Filing, Leads, Performance Review"
HR,"ADP payroll, Ceridian, coaching, employee relations, HRIS, management reporting, organizational, payroll, performance reviews, personnel, policies, recruiting, research, safety, staffing, vision"
HR,"On-boarding, Staffing and recruiting, Payroll entry, ADA, Administrative Assistant, benefits, Ceridian, coaching, consulting, counseling, CPR certified, excellent customer service, employee relations, special events, financial, First Aid, food safety, hiring, human resources, HR, insurance, Kronos, Law, long-term care, mechanic, meetings, Payroll, performance reviews, personnel, policies, quality assurance, recruitment, repairs, Safety, scheduling, staffing, supervisor, supervisory, training programs"
HR,"small business development, project management, leadership, communication, employee relations, self-motivated, staff development, start-ups, team player, total quality management, document control, hiring, payroll, financial analysis, customer relationships, operational expertise, office management, quality assurance"
HR,"Microsoft Excel, Outlook, PowerPoint, Word, Excellent communication Skills, Organisational Skills, SPSS, Data Entry, Research"
HR,"academic, A.I., attention to detail, back-up, benefits, benefits administration, budget, cash receipts, Coaching, contracts, critical thinking, customer satisfaction, customer services, excellent customer service, Employee Relations, Event management, hiring, HR, inventory, layout, leadership, meetings, Excel, organizational skills, organizational, payroll, personnel, policies, problem-solving, reconciling, recruiting, research, retail, sales, Staffing, store manager, employee handbooks"
HR,"HR Generalist, Project Management, Finance, Inventory Control, Certified Professional in Human Resources (PHR), Employee Recruitment and Retention, Staff Development, Mediation, Conflict Resolution, Benefits Administration, HR Program/Project Management, Orientation & Onboarding, HRIS Technologies, Training & Development, Performance Management, Organizational Development, HRIS applications (UltiPro, PeopleSoft Enterprise Human Resources, ADP), MS Office (Word, Excel, PowerPoint, Access, Outlook), Budgeting, Coaching, Employee Relations, Workers' Compensation, Workplace Safety/Security, Meeting Coordination, Disciplinary Procedures, Training Techniques, Incentive Programs, New-Hire Orientation, Negotiation, Recordkeeping, Job Descriptions, Team Building, Communication Skills"
HR,"HR Management, Organizational Development, Strategic Planning, Talent Management, Change Management, Employee Relations, Training & Development, Performance Management, HR Information Systems (HRIS), MS Word, PowerPoint, Excel, Access, Publisher, Adobe Illustrator, SAP, Oracle, Ceridian, KRONOS, Benefits Acquisition, Retention, Recruitment, Compensation, Labor Relations, Decision-Making, Policies, Processes, Special Events, Staffing, Surveys, Workshops"
HR,"HR Consulting, Interpersonal Skills, Coaching Skills, Recruiting, Selection Techniques, Talent Assessments, Hiring Recommendations, Background Checks, Training and Development, Hiring and Retention, Compensation, Payroll, Employee Relations, Regulatory Compliance, Affirmative Action Compliance, New Hire Orientation, Mediation Expertise, PeopleFluent/Taleo, Job Descriptions, Performance Management, Equal Employment Opportunity (EEO), Staffing Strategies, Organizational Policy, Labor Relations, Employee Development, Human Resources Management, Statistical Analysis, Counseling Techniques, Documentation, Employee Handbooks, Networking, Advertising, Safety Programs, Budget Management."
HR,"skills  
fax machines, printers, copiers, computers, Microsoft Word, Excel, Access, PowerPoint, payroll, data entry, employee relations, recruiting, scheduling, cash handling, customer service, hiring, inventory, mailing, routing, receptionist, typing 45 wpm, accuracy"
HR,"hiring and retention, training and development, recruiting, compensation/payroll, employee relations, personnel records maintenance, new hire orientation, meeting planning, workers' compensation knowledge, labor relations, MS Office, excellent interpersonal and coaching skills, HRIS technologies, staff training and development, human resources audits, HR policies and procedures expertise, project management, human resource laws knowledge, appointment setting, database management, conflict management, employee training, creative leadership skills, efficiency improvement, budget management, tactical and strategic oversight, drug screen management, background processes, payroll processing, marketing initiatives, compliance audits, HR policies implementation, leave-of-absence management, immigration documentation, salary negotiations, web interview implementation, union contract negotiations, employee wellness promotion, exit interviews, incentive program development, data analysis, HIPPA, OSHA, FMLA management, benefits administration"
HR,"Coaching and training, Employment law knowledge, Employee relations, Event management, HRIS proficient, Performance management, Records maintenance, Staffing and recruiting, Succession planning, Training and development, Associate Relations, Audits, Asset Protection, EEOC Responses, Terminations, Customer Service, Retail Sales, Cash Controls, Bookkeeping, Time Management, Budgets, Lotus Notes, Bakery, Merchandising, Ordering, Sales, Sanitation, Scheduling, Budget Preparation, Conflict Management, Expense Control, Internal Investigations, On-line Learning, Problem Solving, Project Management, Quick Books, Recruiting, Retail Marketing, Self Motivated, Strategic Planning, Team Building, Training"
HR,"Project management, Matrix management experience, Talent management expertise, Employee relations expertise, Performance management strategies, Compensation experience, Employment law knowledge, Manager coaching and training, Presentation/Facilitation experience, HR Policy Interpretation, Collaboration/Partnering skills, Relationship Building skills"
HR,"Skills: Administration, Accounting, HR, Office support, Purchasing, Inventory, Payroll, Billing, Collection, Sales Management, Marketing, Real Estate, Leasing, Commercial Translations, Customer Service, Strong organizational skills, Verbal communication, Written communication, Analytical problem-solving, Time management, Self-learning, Creativity, Flexibility, Reliability, Detail-oriented, Team player, Microsoft Word, Excel, AS400, Outlook, Spreadsheets, Bookkeeping, Employee relations, Filing, Hiring, Invoicing, Meetings, Windows, Proposals, Purchasing, Training programs"
HR,"Employee relations, Benefits administrator, Employment law knowledge, Interviewing expertise, Payroll expertise, Manager coaching and training, Staffing and recruiting professional, Onboarding, Hiring & Recruiting, Benefit Administration, 401k Administrator, Payroll, Company Communication, FMLA Administration, Temporary Help Management, Training System Management, Annual Reviews, Disciplinary Action & Terminations, Unemployment Administration, Workers Compensation, FAA/DOT Drug Screen Program, EEOC – Affirmative Action Plan, processing accounts payable, Administrative, administrative support, Ads, audit reporting, reconciling bank statements, benefits, bookkeeping, brochures, hardware, conversion, client, database, Database management, delivery, designing, Documentation, e-mail, Event Planning, Hiring, HRIS, Human Resource, HR, imaging, information technology, Insurance, Law, letters, mailing, marketing and sales, Meetings, money, office, MIS, monitors, Payroll, Performance Appraisals, Personnel, policies, recording, reporting, Safety, scheduling, software installation, spreadsheets, staffing, phone, video, vision, website, year-end"
HR,"Human resources management, People-oriented, New employee orientations, Maintains confidentiality, Job description writing, Training and development identification, Staff recruitment assistance, Interview scheduling, Attendance monitoring, Disciplinary action recommendations, Absence scheduling, Document completion follow-up, Attendance record maintenance, Salary preparation, HR event handling, Office maintenance, Monthly expense statement preparation, SPSS Software, MS Office (Word, Excel, PowerPoint, Internet & E-mail operations), Professional management skills, Meeting objectives, Problem identification, Effective communication skills, Deadline-driven environment, Team-building skills"
HR,"New employee orientations, Compensation and benefits, Termination procedures, In-depth knowledge of HR Compliance, Project management, MS Office proficient, Knowledgeable in all HR Systems, Team building, Employee recruitment, Good Communication Skill, Fast learner, Flexibility, Organization Design & Development, Project Management, Compensation Management, International Human Resource Management, Managerial Behavior & Effectiveness, System Analysis & Design, Training & Development, Reward System, Benefits, Motivation, Corporate Social Responsibility, Safety, Training Coordinator, HR Offer letters, Appointment letters, Induction programme, KPI/KRA's, Employee's Grievances & Complaints, C, C++, English, Hindi, Java, Microsoft Office, SQL, Visual Basic 6.0"
HR,"Microsoft Office Suite, SAP, Kronos, IBM, ADP, ATS, MSS, HRSS, Oracle, Workbrain, administrative, auditing, benefits, budget, client, customer service, data entry, database, email, employee relations, fax, filing, forms, HRIS, inventory, labor relations, legal, meetings, access, internet research, organizational, payroll processing, performance management, personnel, policies, processes, recruiting, reporting, research, safety, staffing, strategic, employee development, training and development, conflict resolution, team building, strong attention to detail and follow-up, critical thinking, conceptual strength, relentless determination, broad perspective, motivations for high performance and excellence, values differences"
HR,"Human resources understanding, Scheduling proficiency, Market research proficiency, Report generation, Critical thinking, Eye for detail, Self-directed nature, Analytical problem solving, Contracts, Social media and networks, Microsoft Office Suite, PowerPoint, Exceptional telephone etiquette, Patient and diligent, Administrative Support, Anti-Virus, billing, budget, oral communication, conferences, clients, customer satisfaction, databases, documentation, Finance, Help Desk, Inside Sales, marketing, meetings, Access database, Excel spreadsheets, Microsoft Word, Office Manager, Organizing, pricing, printers, problem solving, processes, coding, purchasing, Quality, recording, recruitment, sales, scheduling, spreadsheets, Surveys, travel arrangements, troubleshooting, websites, written communication"
HR,"Customer Service, Receptionist, Retail Sales, Advertising, Budget, Corrective Action, Cost Reduction, Forecasting, Maintenance, Office Manager, Paying, Scheduling, Surveying, Accounting, Administrative/financial, Buying/procurement, Financial/accounting, Inventory, Inventory Control, Purchasing, Affirmative Action, BI, Business Intelligence, Claims, Clients, Coaching, Compensation, Contracts, Disciplinary Procedures, Employee Engagement, FMLA, HR, Interviewing, Managerial, New Hire Paperwork, Payroll, PTO, Recruiting, Staffing, Talent Selection, Tally, Terminations, Training, Workers Compensation, Best Practices, Excel, Excellent Multitasker, Kronos, MS Word, Outlook, Performance Management, PowerPoint, Simultaneously, Word, Food Service, Human Resources, Business Management"
HR,"Trilingual, Exceptional listening skills, Customer focused, Sales, Strong lead development skills, Goal-oriented, Persuasive communication expertise, Multi-task management, Project Management, Payroll System Expertise, Creative Problem Solving, Staff development/training, Client relations, Internal Auditing, Reporting, Business Development, HRIS Expertise, Event management, Leadership, Microsoft Office proficient, Self-starter, Troubleshooting, Problem solving, Organized, Detail oriented, Sensitive to customer needs, Ultimate Software Payroll expertise, Kronos Time and Attendance expertise, Paychex proficient, NETtime proficient"
HR,"HR Generalist, employee recruitment, onboarding, conflict resolution, benefits administration, payroll administration, policy development, implementation, training and development, employment law, FMLA, ADA, EEO, employee relations, staff recruitment, retention, HRIS applications, accounting, advertising, bookkeeping, budgeting, business law, business research, business startup, competitive analysis, credit checks, training employees, special events planning, leadership, hiring, inventory management, marketing, Operations Management, Organizational Behavior, packaging, safety protocols, POS system operation, pricing strategy, profit analysis, promotion strategies, Microsoft Office (Word, Excel, PowerPoint, Outlook), Sigma Six Yellow Belt, PHR certification."
HR,"Analytical skills, Project management, Process improvement, Quality assurance and control, System Applications implementation, Microsoft Office Suite expert, Working independently, Strong interpersonal skills, Results-oriented, Fluent in English and Portuguese, Detail-oriented, Troubleshooting, Problem solving, Advanced Excel, Access, Word, Visio, Power Point, VBA, SAP HCM, Success Factors (Compensation), Microsoft Project Management, Service Now (ASKHR), Smartsheet, Panaya, SilkRoad - Red Carpet"
HR,"administrative duties, administrative support, ADP, Attention to detail, benefits, calendar maintenance, call center, data analysis, databases, documentation, email, employee relations, expense reports, faxing, filing, forms, HRIS, Human Resources, leadership, meetings, Microsoft Office Suite, Multi-tasking, organizational, payroll, policies, presentations, reporting, research, Scheduling, Siebel, strategic, Supervisor, telephone, typing"
HR,"Bullhorn, Boolean Searches, Google Resume Search, LinkedIn X-ray search, The Ladder, GitHub, Tech Fetch, Monster, Career Builder, LinkedIn, Indeed."
HR,"ABRA, Benefits, benefits administration, billing, Ceridian, conflict resolution, Crystal Reports, HRIS, Human Resources, insurance, Process invoices, Microsoft Word, Payroll, PeopleSoft, performance reviews, personnel, policies, QuickBooks, reporting, safety, SAP, spreadsheets, tax, tax returns, written"
HR,"Human Resource Management, Employment Law, HR Policies & Procedures, Training & Development, Performance Management, Employee Relations and Mediation, Benefits Administration, Orientation & On-Boarding, Organizational Development, Staff Life Cycle, HRIS applications, MS Office, E-Mailing tools, Networking, Professional communication skills, Interpersonal skills, Bilingual Thai & English, Excellent adaptability, Hard working, Flexible, Reliable, Honest, Polite, Decision making, Excellent customer service skills, Creative"
HR,"Benefits Administration, Employee Relations, Human Resources, Payroll, Training & Development, Recruitment, Microsoft Office, Word, Outlook, Excel, Powerpoint, Prezi, Tableau, Core, Paychoice, Encore, HRIS, FMLA, STD, LTD, ERISA, COBRA, ADA, Section 125, Worker's Compensation, Leadership Skills, Marketing, Customer Service, Accounts Payable, Accounts Receivable, Administrative Support, Budgeting, Reporting, Surveys, Tax Returns"
HR,"administrative, administrative support, benefits, cash handling, coaching, interpersonal skills, customer service, data entry, decision making, employee relations, hiring, HRIS, human resources, labor relations, leadership, merchandising, negotiations, organizational, payroll, performance reviews, personnel, policies, problem resolution, recruiting, reporting, sales, employee development"
HR,"articulate, benefits, case management, employee communications, Human Resources, payroll, processing payroll, personnel, policies, processes, quality, recruiting, research, Staffing, phone, workflow"
HR,"HR Management, Talent Management, Strategic Recruitment Planning, Organizational Development, Workforce Planning, Team Building, Project Management, Vendor Relations, FMLA, Employee Retention, Performance Appraisal, Behavioral Interviewing, Performance Improvement, Employment Branding, Recruitment, Training & Development, Change Management, Contract Negotiations, Database Design, Employee Relations, Marketing, Performance Management, Policy Development, Process Improvement, Quality Assurance, Leadership, Recruitment Strategies, Succession Planning"
HR,"Safety Management, Employee Engagement, HR Generalist, Training & Development, Organization, Recruiting & Succession Planning, auditing, business strategy, case management, contract negotiations, crisis management, finance, HRIS, Human Resource, leadership, ISO, Material Science, negotiating, network, organizing, organizational, payroll, performance management, personnel, policies, problem solving, quality, recruiting, staffing, structured, technical training"
HR,"conflict resolution, creative problem solver, excellent communication, quick learner, ADP, benefits, coaching, consultation, customer satisfaction, employee relations, interpretation of policies, leadership, Excel, PowerPoint, Word, payroll, PeopleSoft, performance reviews, performance management, personnel files, implementing policies & procedures, recruiting, process improvement, safety, seminars, Spanish"
HR,"Training and development, Recruiting, Exceptional interpersonal skills, Manager coaching and training, Performance management, Employment law compliance, Employee relations, Compliance, Conflict resolution, HR Metrics, Change management, Coaching and counseling, Investigation and resolution, Market analysis, Staffing and recruiting, Documentation, Process implementation, Training program development, Policy interpretation, Employee performance evaluation, Exit interview program, Leave management, Employee incentive program, Organizational policy matters, Performance management processes, HR documentation retention, Background checks, Job descriptions creation, Employee handbooks development, HR operations management, Liability management training, Succession planning, Employee orientation, Workers Compensation compliance, I-9 compliance, Communication, Relationship building, Event coordination, Payroll resolution, ISO9001 compliance, OSHA reporting, FMLA management."
HR,"Administrative Management, Problem Solving, POS, Human Resources, Time Management, Customer Service, Critical Thinking, Great Organizational Skills, People Skills"
HR,"Payroll, Benefits Administration, Employment Law, FMLA, ADA, EEO, WC, HR Policies & Procedures, Staffing & Retention, Employee Relations, HR Program/Project Management, Orientation & On-Boarding, HRIS Technologies, Training & Development, Performance Management, Compliance, Communication, Teamwork, Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Applicant Tracking Systems, Content Management System (CMS)"
HR,"Recruitment, Attendance Management System, Payroll Processing, MIS, Employee Engagement, Microsoft Office, Excel, Word, PowerPoint, Outlook, SAP, Training programs, Negotiations, Team building, Reporting, Processing Payroll, Trend analysis, Benefits, Agency, Client, Fast-paced environment, Scheduling, Leadership, Presentations, Rapport, Policies, Employee Grievance Handling, Interviewing expertise, Employee Joining & Induction, Offer Negotiations, HR, Business Administration"
HR,"HR, staffing, recruiting, interviewing, personnel records maintenance, affirmative action compliance, Microsoft Office Suite, onboarding, E-Verify, I-9 verification, SAP, data entry, reporting, benefits administration, human resources policies, compliance, customer service, documentation, telephone management, bilingual (Spanish)"
HR,"Excel, Human Resources, Training, ADP, Pivot Tables, Recruiting, ADP Software, Billing, Eprise, Onboarding, Testing, Administrative Support, Administrative Assistant, HR, New Hire Paperwork, Benefits, Integration, Intranet, Intranet Content, Learning Management, Learning Management System, Learning Management Systems, Microsoft SharePoint, Staffing, Training Programs, Usability, New Hires, Adobe Acrobat, Illustration, Illustrator, InDesign, MS Office, MS Outlook, MS Publisher, PeopleSoft, Photoshop, Publisher, Applicant Tracking System, Database, Employee Database, Claims, COBRA, Payments, SAP, Award, Budget, Correspondence, ADP Enterprise, File"
HR,"New employee orientations, Maintains confidentiality, Recruiting, Employee relations, Off-boarding, Performance management strategies, Quickbooks, Sequoia, Taleo, Google Drive, Google Calendar, Microsoft Office Suite (Word, Excel, PowerPoint), art, bookkeeping, charts, Cisco, client relations, database, designing, diagnosis, e-mail, filing, financial, government, hiring, HR, leadership, managing, multimedia, organizing, Organizational, payroll, performance management, Persuasion, progress, Psychology, research design, sales, spreadsheets, Statistics, tax, telecommunication, phone, content writing"
HR,"benefits, budget, client, delivery, hiring, HRIS, Human Resource, HR, Insurance, Leadership, People Management, Managerial, Managing, market, Mentor, Access, Excel, MS Office, Outlook, PowerPoint, Word, MIS, negotiations, networking, Internet research, optimization, Organization Development, Payroll, Payroll Processing, Performance Management, philosophy, policies, processes, promotion, Recruitment, recruiting, SAP, seminars, strategic"
HR,"Strong organizational skills, Sharp problem solver, Active listening skills, Courteous demeanor, Energetic work attitude, Customer service, Multi-tasking, Quality Assurance tracking, Data entry, Medical recordkeeping, Medical ethics, Medical terminology, Communication skills, Ability to prioritize emergency medical treatment needs, Ability to remain calm in a crisis situation"
HR,"Staffing and recruiting, Performance management, Employee benefits, Employment law, Employee and labor relations, Manager coaching and training, Legal compliance, Workplace investigations, Human resources driven programs, Training and development, Employee recognition programs, Applicant Tracking System, Recruitment strategies, Employment law compliance, Performance appraisal, Human Resources Information System (HRIS), Benefit program administration, Disability claims processing, Community event planning, Organizational development, Labor relations, Coaching and mentoring, Talent management"
HR,"HR Professional, Employment law knowledge, Benefits administration, Manager coaching and training, HRIS applications proficient, Employee relations, Staffing and recruiting, Off-boarding, Employee handbook development, Conflict resolution, Compliance, Performance management, FMLA management, Worker's Compensation claims, Recruitment, Onboarding, Anti-harassment training, Safety training, COBRA administration, Data reporting, Counseling, Employee engagement, Community outreach, Benefits planning, HIPAA compliance, Meetings management, Database management, Payroll processing"
HR,"Staff Recruitment & Retention, Employee Relations, Payroll, Health and Welfare, HR Program/Project Management, Orientation & On-boarding, Training & Development, Performance Management, Leave of Absence, HR Policies & Procedures, Organizational Development, Communication Skills, Organizational Skills, Confidentiality, Team Player, HR Policy Development, Employee Rewards Programs, Benefits Administration, Financial Products Knowledge, Customer Service, Troubleshooting Techniques, HR Management System (HRMS)"
